Cars,Trucks,Motorcycles,Buses,Car_Weight(kg),Truck_Weight(kg),Motorcycle_Weight(kg),Bus_Weight(kg),Avg_Speed(m/s),Avg_Weight(kg),Incident_Count,Surface Roughness (m/km),Road Age (years),temperature(°C)_x,rainfall(mm)_x,humidity(%)_x,wind_speed(m/s)_x,average_temperature(°C)_x,weather_condition_x,Wear_Index
729,224,399,8,1922,9035,225,6273,11.440870218137142,1716.54725787608,4,3.251134381261449,4,10.593922607929285,4.891818839823364,49.07926467250613,23.179938392127685,32.99027737979975,Rainy,512.7707374012053
1672,161,350,4,1823,14087,416,9846,5.0226158650026775,2549.4858653552865,6,3.5581498420154505,33,37.47402075900097,11.507426756055075,81.11659291976814,17.85886248835922,33.05933521591915,Pleasant,963.288973006229
1739,28,343,20,1976,8357,219,5085,6.333835465812186,2347.9740212009992,6,3.193526915277785,6,29.27483392835532,8.103229593243586,60.943002449646926,0.3711728836905459,17.6401720614166,Stormy,953.7549490701092
1971,123,416,42,1919,6606,233,5153,21.33204023563824,1925.845727852391,8,3.729915231401369,49,21.946643418748977,13.438765376134008,65.16652276710762,14.956485119655367,34.22274082189409,Rainy,1114.227940308484
1554,140,324,15,3283,11202,475,7434,15.059748554028022,2277.906990068177,0,2.801009901517188,3,18.41845681735191,12.980523545652582,45.46136354300087,20.70321833094217,30.76303603723257,Pleasant,888.4353099693575
452,168,492,20,2551,9270,407,4414,21.21623143784124,1671.4281619586995,9,3.933653321380481,28,30.7238486120224,4.643848055322484,41.27300289409946,23.627001890722653,20.50223495138088,Stormy,377.2876989950191
1498,143,225,6,4704,11225,257,4769,20.57017977992924,2843.722722738421,6,3.05139623085608,28,20.25319530402689,9.021516600743292,50.40603602194389,29.5889515793891,26.59680475707201,Pleasant,840.379159259335
1065,54,286,7,3158,12135,403,5204,14.953037106920249,1485.4856783322628,4,3.109061349930632,12,20.376749511513715,18.72475366045216,70.99308459399145,16.71006565234857,28.15779527504672,Stormy,609.8191456801082
600,214,119,1,2404,13454,237,8417,7.582613869987284,1349.153400094503,2,3.4691186664088858,31,19.184626907787017,4.823085071228903,97.77705445734128,8.851955840323836,18.49365965275405,Clear skies,390.6949974909274
777,152,172,2,3571,5433,104,3530,19.53677740033843,1250.0667413006504,7,3.59168866254214,36,27.098365119834096,5.3323352753994335,43.87516038348412,26.12778410006877,28.666173091110245,Stormy,475.4878471275167
1038,39,208,11,3258,5580,450,7104,11.632097301790134,2896.595299191132,1,5.92241209702564,14,35.80393781744583,17.206282773155518,47.38245838436762,1.0530969536805546,18.060309185629198,Clear skies,579.0794048951768
491,244,415,34,1643,6390,100,2361,7.288904226009811,2838.3607485418124,6,4.782637272288037,8,23.242946678653773,0.6690065467666395,98.65711485022952,25.14656362264993,30.31523477381189,Stormy,402.24557533932233
966,62,458,15,2277,9746,190,4036,13.429799508697162,1264.19686511545,7,3.196438814643634,42,29.7984759588768,16.23752406392931,77.50109718746907,9.885942874839012,16.218392803281866,Pleasant,596.7292806939367
1045,30,65,11,1243,14275,415,6100,19.889493673822727,1795.8456758511293,2,4.656725076419817,37,32.948837820611445,8.228096406601741,51.046617216534656,28.655043139924555,30.13807757643567,Rainy,547.5364372193784
1836,72,128,9,2972,8284,274,5066,5.70755379858177,1008.4793514224282,6,5.258568325743646,16,16.080013715342854,13.906768606388557,85.99796332737154,11.565769045638463,18.004972630907556,Clear skies,972.313428966085
1119,262,206,18,3264,14076,202,8767,20.31440505908873,2115.039652683988,3,4.506440170211786,43,15.962481237130888,6.233567642206522,85.53238789200151,22.96845020500046,20.77721174012563,Stormy,687.3085931080017
1062,292,244,30,2772,14838,352,6869,19.21338128468427,1150.582193025517,6,4.947451719343336,33,38.14786897016124,8.413600531753254,63.24445215200698,28.46922770996136,21.49714777154609,Clear skies,676.0911396678041
808,41,253,10,2641,5439,165,6421,23.553378931193294,2486.665977106393,2,4.550391608904691,17,32.13040135124581,1.4686439687511976,85.98067738701647,24.631093116215283,29.12768360059509,Rainy,472.0496436785148
459,17,145,26,4880,6113,272,2154,17.71070735919796,2244.888852406184,8,3.454026946834005,48,39.50354711808755,0.7368459842997899,63.07809314590753,9.508579477660495,34.512224641436546,Rainy,270.7866926500899
1608,272,390,21,1610,9833,286,6181,15.530979612501165,2287.793845346668,3,2.521725343927406,49,32.46156851827071,7.363958625682767,73.65101382193362,9.534934192893312,15.863998691062069,Pleasant,968.0104904354286
776,153,341,13,3167,13319,329,4115,15.534148478589168,1828.4099761494097,7,4.076211270226594,8,20.34414576843563,15.281111617585593,41.91412448859412,14.604777481422552,15.703456181135287,Stormy,504.7105398230637
1672,22,267,16,2634,13066,252,3513,21.817694400168875,1681.1861568860172,0,3.6437634766976696,2,35.79539749454294,16.868948636465653,44.42171435024283,22.11143434093236,19.650040148705653,Rainy,896.9290268658758
1338,174,467,4,3410,11789,326,5180,18.911161642363595,2082.570202230045,9,2.666246541266044,37,14.985898439504346,15.093746098254815,47.934584429836384,11.047589066084283,31.640288351248,Pleasant,816.5440918776159
1583,185,486,34,4954,13137,463,9905,16.874874297593355,2888.454779260436,9,5.290740666996183,19,18.41090281885449,0.2361532492942286,80.60348737409157,27.32251005679177,29.32044902602097,Rainy,953.4511742714624
1083,26,321,15,4950,11533,206,6957,19.13345862623532,1343.6099043210336,5,2.960803662080836,2,36.292071975745344,4.419402373601571,78.35105555719541,13.653140832906905,29.86429775087017,Stormy,615.2605506166219
1598,90,67,34,1729,11109,348,9076,21.92978131204814,2121.542994443884,6,3.867791198668781,32,22.41638287570762,19.57840815081643,77.1825887183276,28.783586164083253,30.025994015941105,Pleasant,847.0236106990939
791,223,479,23,3757,7729,408,7904,16.413492196751683,2229.1594249837663,7,4.0459889699402085,7,12.249277961811831,9.1991340504412,94.40937121448904,0.1996357658690217,29.45885938729821,Clear skies,559.2324265736094
1855,223,359,14,2295,7982,147,9236,9.719396305363396,1734.68149290636,3,4.487979245567958,42,24.1055194047342,11.535483803017598,57.6627460092125,1.492053055026854,21.96810344276916,Rainy,1069.5963047306325
975,229,101,25,3377,10238,343,5228,11.601396119689202,2519.000105985356,7,2.8271688621462783,13,37.2292837588594,7.610527147903376,85.34502880208278,12.996796170880833,20.837834959395977,Rainy,582.610427803012
1067,47,129,17,4390,12851,122,7368,9.032064018053289,1598.8504833160462,3,4.612186210862856,36,39.52530575677675,13.32473244106301,84.92836450903127,14.00678025017546,31.204394117293745,Stormy,579.4880768629378
1876,4,391,40,1854,8212,271,8397,7.221004137957436,2693.143348473312,1,4.6304884889771,14,36.31653586065325,7.92835034466772,52.92021950404839,26.080837472638297,26.98865071779173,Clear skies,1019.8502488530772
1785,262,135,37,3632,12526,333,8801,14.750210804791385,1661.994472449447,6,2.844304690316469,23,25.76924684289002,10.140275057150788,74.3081806266522,19.05751635492756,26.975232476758485,Clear skies,998.6475384092432
1905,38,79,0,4900,11278,132,2864,21.735298149928745,2673.7815182751137,5,4.43833249265279,6,38.8109770506056,13.439300642042218,86.09691276555836,8.040730273584934,16.102780138777952,Clear skies,980.2084744826826
1308,125,469,1,3273,6964,462,3753,20.58537250305873,2568.807181641037,1,5.274070858195836,17,17.64106620496439,7.83347979231727,58.25487715291654,22.477843699730265,24.420623786184745,Clear skies,788.7220074101367
352,151,425,25,4562,10521,401,4513,20.10890905832718,1035.8043958606831,9,5.63890262213247,16,27.214556686374102,11.621757688526714,65.50931403273327,13.076739633778232,24.91068476511129,Pleasant,312.9515168156029
1126,91,338,35,2574,14776,189,4704,17.30996580650831,2283.965984903417,0,5.631270901472792,12,35.573293441435,5.2481449079605085,78.82002882874113,10.862046750210595,25.37914686679013,Clear skies,664.1313228349748
1133,136,466,17,1881,10152,233,5264,19.86856408910525,2584.015104716026,8,4.0768315143738505,2,29.65516564705677,2.149785069830472,51.6614940548528,13.80578973667482,31.72598099401238,Clear skies,706.5406473460508
530,288,257,12,3685,9020,377,9309,14.44018156512161,2971.573183280367,0,5.001952251818613,11,32.81376293653469,9.947870802378812,50.15741094827828,15.81370035305846,17.530919131404424,Clear skies,408.278522781325
723,182,430,32,3582,10099,325,8181,5.126339223400967,1469.6034030173278,7,5.543707667715172,36,13.071417661654756,17.657631743552454,54.48708436098628,22.063340019188644,15.168758612318827,Rainy,509.6304912883048
209,296,125,35,4595,11757,393,8189,11.076528672839922,1983.2374417137523,7,3.473744213261994,1,32.18873249137411,2.0286772526699504,83.95746067921733,11.958165848606615,22.900945095133142,Rainy,224.10414092187983
693,181,115,41,1244,9070,246,8134,9.133883860817711,2036.3085723395025,6,3.56151504862173,26,15.597778025065349,10.072744004624942,96.04727875124313,9.403426606705883,19.332867080850686,Pleasant,433.3450509057484
1449,106,58,22,4637,8812,297,7997,20.36455768997204,2426.7354081388103,1,5.5495955724439945,28,18.21832469639828,18.456340178461023,73.55852629555413,15.32538831692622,21.390800107504997,Stormy,769.5311410295849
1650,20,328,3,4569,8406,278,5319,15.881883235692056,2613.1746963420374,1,5.056642807004408,5,38.22572261931018,19.24466938705237,95.44487751697284,1.2019643663763655,28.11503983697233,Pleasant,905.1130376521928
500,227,90,41,3001,9699,163,3690,8.324031520936463,1054.2228166928985,9,2.822228267946308,13,30.170044067779664,7.102760230616272,55.59322154685779,25.162717980486256,26.56965977639713,Clear skies,336.5119744268816
564,258,473,7,4457,10819,198,8832,10.832731569597836,2674.8092672281587,5,3.0746886569253067,26,29.190272259340915,3.571483454149127,46.27102175731809,21.56056756879457,15.45865442659287,Stormy,456.1841975907323
1406,8,399,6,4340,10291,455,7090,22.027775620596152,2087.515815660492,5,2.7322248661260837,31,33.41330747112707,6.493094480813473,60.632804069516425,15.116916973153955,21.986399323285248,Rainy,787.026848041521
230,235,209,35,1240,13796,468,6518,12.975658284215452,2152.8620339676027,4,5.367006013743915,31,14.280706565504373,11.753973010129492,88.97186059338206,15.641184457804584,18.224582485488177,Stormy,229.85458939712345
611,186,105,48,1539,10273,193,7368,9.560915155042837,1501.5341014300038,6,2.939888057701716,25,29.6842982404029,5.87403895392521,96.37155847741616,14.57162732268188,20.384374713946244,Stormy,386.63559632058656
1196,180,196,4,4523,7587,475,8923,6.972311662144913,2824.5936375549363,1,5.794508275951294,41,30.774094282252264,9.136438409659922,44.24646104206561,2.5123110809379656,16.922639843612185,Stormy,697.1652246113495
829,138,124,35,1649,11933,279,6750,22.079148691365692,2391.3312091249554,7,3.2080149823985225,2,18.35196560484999,2.830450313949904,59.03586586895954,6.603985452523462,24.310259079072445,Pleasant,483.3440338877498
1372,157,490,2,1868,8594,487,6658,9.376026956648074,2541.5187405239694,0,5.889416216342941,17,32.250622004949975,9.67551007088355,56.52673566223656,14.656005687314796,17.673682239575342,Rainy,831.1464918565875
1649,173,283,34,2172,11357,263,2544,24.47789417252577,1723.6253201670447,7,5.426618051760181,28,37.24253762391172,15.1580043901222,77.41759785346942,25.53891357796115,21.095299347679717,Pleasant,937.8706414044758
1036,201,295,25,4996,7498,421,3700,17.084062766395746,1578.6808768421115,5,4.347551399024722,9,32.050714581195834,10.848553631996165,41.03963324964582,20.42820802168714,21.76053013593987,Clear skies,643.2795006457662
1466,222,199,23,3467,11523,321,2328,23.947358820293623,1850.8810504793628,4,3.819799205415845,6,13.515888209900822,4.496487775097373,63.96970942514251,19.06150063018776,34.00524910858772,Rainy,846.7586439112472
1652,117,387,9,4678,6391,254,9500,17.498209420592367,2284.0308755374367,9,2.5751946097309366,17,33.8809807067606,15.784807816160605,89.05384288490727,12.242601235804823,31.54725415025712,Stormy,942.7676663211724
796,34,257,13,2201,5435,137,3517,11.753602692576436,2600.78483458888,8,4.876948277809752,9,26.50027901258466,14.01179497349807,93.18658895860544,10.857946766588038,27.805410237113005,Clear skies,468.8932121991554
941,270,365,49,4487,7812,467,5700,6.495939082373614,2765.246202899198,2,2.8898301758842835,42,14.31108774420043,12.422831263242992,98.61019379228787,6.438181952910066,23.006975547707174,Stormy,631.0298924067325
1058,29,93,3,4562,5052,362,2712,7.756835417311693,1941.7820850633057,7,3.103793410650032,39,15.625822436448068,3.3532520150178917,51.66986753950168,25.57137345509308,28.463779491616496,Clear skies,564.3929585172006
848,109,311,23,3444,11663,207,2661,22.365855050089596,2115.025471385332,4,2.812046642526849,39,22.700639851325164,10.113782564762476,94.51435111798595,14.716020525289274,34.774389857162944,Stormy,526.7080644302787
1234,83,229,22,2754,14221,119,8121,8.579669079101876,1758.5292669304868,4,4.829294072649036,11,10.247929676791092,7.329080560127739,44.22381119340641,18.842047352125416,23.034469836563137,Clear skies,695.6785226829691
855,28,251,14,1434,11074,268,8949,18.63900519995444,1417.6499108156006,7,3.3305991152197074,13,33.142348585786486,13.80435315708018,94.59900069694454,2.658515749905773,19.57878590363132,Clear skies,493.82726166252473
308,103,56,44,4677,14019,469,2080,8.54676049678217,1725.4603724037618,5,5.32990601601368,35,10.622807951484235,18.5949899139274,95.86028633175609,0.6416331054715074,27.89953615750492,Clear skies,199.31885065958213
236,273,366,1,1040,5717,262,8772,13.718567759418391,2065.0548181121067,3,4.248635926084343,45,13.486044994281,2.0318337329702474,71.72353074564349,18.219695416153275,23.82669974347241,Pleasant,281.5390403531266
1436,49,142,14,3435,14360,398,4017,21.05021077019594,1918.9615831135684,5,5.68874896827379,42,18.18245964153157,7.809587337632857,91.2169566065588,26.17866960233407,33.46984450275474,Pleasant,763.9334750289048
1176,87,327,11,4216,8334,135,9224,13.3962367824466,2813.137064126645,0,5.774201638065332,15,39.19263259538289,5.026967412661161,75.91795170231029,28.31053197834568,32.4155154867751,Rainy,688.0329359363257
862,225,440,3,2170,8258,471,8349,23.01273115435545,2193.038781670476,9,4.8930012396017375,28,14.975826289433826,1.6360198054373143,52.77347040390484,12.40643433660176,29.88984000853388,Pleasant,587.1790058835958
697,54,245,38,3791,5753,478,5809,15.904784197389194,1719.557267742926,3,3.265556980567717,32,21.803100896341025,19.91303637818391,99.63398461071596,4.214281051634544,23.9238148353747,Clear skies,416.3792166943532
306,195,409,33,1982,14330,376,5739,14.749857266843918,1738.6734269471997,9,5.388849524195543,47,12.423363595736026,9.876793311118009,52.60870986005614,10.46685090804223,34.14566392175507,Clear skies,298.326233335829
554,100,217,38,1310,7808,252,2060,24.67265318938776,2513.403898936399,1,4.505776482665295,22,39.57643281737832,11.28730907081049,72.29269147315782,24.625810110293365,34.2115795565061,Clear skies,356.2132905860705
1115,294,415,19,3840,13897,393,2753,19.56027034442144,2891.2263829251838,2,3.5295190348989727,44,38.684084452447394,19.47399471482869,54.10695552012674,1.6890963670273385,25.31221464279959,Pleasant,731.9951257184579
192,83,277,36,4794,10884,430,4292,8.508093038566972,2677.767150431755,2,3.8419144881886695,24,20.039998025630123,10.628186556654509,64.98272612122653,13.062721925898352,18.46395313966498,Pleasant,186.02654597199512
1093,17,174,18,2445,10411,476,2540,18.448492356753142,2134.1472249250774,8,5.694954308945862,45,30.80650805265834,9.095415104646069,82.76285708126517,5.130235201480357,18.76981219853416,Rainy,587.7987995020327
1105,66,146,26,3084,9625,434,8023,8.58274965275976,2790.6168374676145,6,5.5573247567787165,20,30.15491317857463,1.5833060659399778,94.46592407464556,28.3476153607152,32.03620367096145,Stormy,609.802686429997
264,97,449,16,3556,7114,143,2868,16.254557017848608,1566.783813736958,2,3.623736705126399,23,26.678855339917384,13.617407697963731,70.51603152004546,19.935052085458096,19.997333165944266,Stormy,254.32731282109776
1205,75,287,0,1052,6622,230,4914,11.050361346673704,1733.6464646004513,4,3.3906267041954434,47,15.6530574161223,3.853509510252964,53.3064459156217,12.386274277653724,27.89264862191381,Stormy,688.4391040209481
1801,23,100,47,4113,14101,197,7001,22.28931603405655,2512.412804896119,9,3.1020302597128246,2,22.071348050423524,4.987906371062629,59.72081760879749,12.715388706290794,19.88016867840092,Clear skies,934.9179043160292
1060,101,154,13,3590,8352,336,6902,20.91093315540164,2347.944315560956,8,3.4412247472576816,2,39.03985378756533,18.732804566335982,87.21917832479377,9.93492602517068,21.917219760439277,Pleasant,599.5426121170652
927,199,251,29,3546,11667,296,2590,13.646458514266795,1543.681991823778,3,4.785778755518154,20,20.509441360551605,7.721505413439176,49.55988809691743,6.358263335213045,18.822367399668003,Clear skies,573.7337325087539
271,203,462,0,3687,14224,100,9335,9.091242531266566,2601.093075575596,1,3.495542183439286,40,15.642455523056087,2.637414861635325,76.40392264358965,15.343456752877556,32.77859720683694,Clear skies,293.33181964122343
1138,122,91,46,3267,6757,425,7445,22.492900285203127,1899.0453012628973,6,2.71514527097528,14,18.019123592960245,17.86162915415282,88.80915644038953,28.92823880896687,31.254584428755138,Clear skies,625.0922072315066
1813,273,393,18,4972,7330,235,7821,20.39892048752518,1015.7078852565346,0,4.584391264731186,11,32.380754725140264,2.4384895128713224,94.71855625011428,1.3150964888462613,33.927024579570805,Rainy,1068.39502740466
396,164,324,27,1915,10169,365,3072,8.095889845933558,1116.1347511140568,6,5.467687977453451,22,15.430614983331058,2.20889458530428,56.65197610592763,17.850592213151486,31.96771465593368,Pleasant,312.6183765734288
1101,190,97,12,2246,11883,105,9556,15.825644470843006,2901.3530510836663,2,5.027470786964881,29,19.744393087296203,7.133618922187748,47.83790070951021,20.76372753476275,32.76950002675419,Rainy,627.8605242148915
1759,280,486,2,3216,6536,265,6261,19.95412129330792,1894.1222670397497,9,3.2962054291476868,33,11.741866188185384,11.594266288146205,48.91593327261927,6.116125966235132,34.024508202656136,Stormy,1068.1097544737702
364,156,330,26,1163,9977,265,9921,24.516654243084343,2801.824448288631,2,3.380437785338195,27,37.87607983002757,14.157925432000184,81.12220490742574,10.760307061158374,15.076252242071098,Pleasant,302.0132476086096
388,46,62,28,1287,12661,263,3664,19.44304118414204,1660.8994421509956,7,5.790676316838606,32,21.786461509933545,18.65102944975838,41.69584225641336,27.109025621095466,19.66759399610065,Stormy,229.54802249220788
1545,24,82,46,2824,6578,155,7478,9.589475947290708,2469.290194790038,1,5.638987257552497,7,32.60909245617935,19.52333882381575,58.08031504645752,15.100275654987986,28.817316895480868,Stormy,803.051996844311
1291,245,406,3,2464,11877,264,8298,7.788441505201393,2801.428615996308,5,2.764327963239167,1,36.53498080399466,6.391742255624589,71.64707568845127,10.978267495459905,29.670124263810827,Stormy,804.7032772632631
1679,121,150,9,1639,14556,200,4884,11.273088954818732,2041.7149005761712,9,5.833608380077423,15,23.06905665055112,17.850360463045895,66.67302435487338,28.44475969645768,15.799310264071432,Stormy,909.6954875551336
520,20,401,32,4097,10108,405,2251,15.840284713131474,1828.6605138824293,0,4.480701888746518,6,20.726936465917863,15.359633841652876,84.19354554973148,13.712286759357228,28.50314753571672,Rainy,353.6060525722045
1941,246,426,1,3937,13161,471,5244,13.621609886110564,2178.2891022242766,5,2.8434067416887787,49,25.070957508061007,15.396822174951351,62.48724101640899,22.423351275091125,15.529529198191357,Rainy,1134.4556944045792
256,51,279,47,4619,14230,221,8247,23.19900214228682,1725.1948814786706,8,3.479397469334552,11,22.27853202286008,9.419292297706043,60.24019001141821,29.784008269353876,20.26222621413312,Pleasant,208.66838173645235
1351,77,113,20,1605,12015,401,8808,18.30345293702093,1896.9606386410237,6,5.118148309496112,20,13.426508379836196,2.403396057364855,90.86630207935096,5.774389045329772,26.618398655375017,Rainy,724.5616109555397
179,172,450,10,3766,13083,251,5811,14.091975428110988,2936.999951269888,8,5.337641854686656,27,28.14802023352191,3.100349919033522,92.10650674744096,3.0599977020913824,34.95223648445837,Rainy,236.1404818210687
1691,256,491,38,4794,10218,141,6746,13.979957708380471,2400.178351415121,8,5.092675683334971,28,23.40340437041423,15.802150434652134,60.49348974494613,11.577183470342373,32.62139735796573,Clear skies,1029.6579875356667
757,240,316,14,2751,10235,147,8348,18.594304720448275,1702.6993002830263,6,5.102841509588062,45,20.73393612331029,14.895279981347576,95.02716073892088,13.549816176073069,29.579845150571927,Rainy,519.6121345242624
1367,56,438,8,2397,11184,189,6137,14.661840442259708,1637.9282224402937,2,3.294972344865992,2,33.4272021166961,4.007071418767345,63.980855563012085,3.465905410849899,28.54840423663029,Clear skies,794.9263722276545
1360,223,210,21,1208,13022,455,4671,15.669321628299542,2035.4389524615815,3,4.685827166412285,49,17.635591934212922,6.799893534373718,42.2092819250698,1.7806142303310346,31.754315765557457,Stormy,793.4019333848295
474,10,290,14,3631,6258,394,6723,17.015276457052906,2372.4563958078043,5,5.506252302390299,38,37.75198148896296,12.196366986496486,56.843208229340405,15.95207459322632,27.71377719823332,Stormy,298.16307280741546
1548,157,335,23,4179,7203,379,7483,22.7829872167505,2236.881021406767,0,3.0973465515207472,18,23.98962355967838,10.993515997115331,83.41666136113344,11.348011414884963,17.99008025676234,Stormy,895.2328482159157
199,170,158,47,1861,13891,380,4434,23.646315265472392,2006.6411118948463,8,5.280513586299507,2,18.072509016886222,8.045308847859573,48.34319502907951,8.047425933812546,29.2620342103317,Stormy,189.80188232541272
762,136,410,9,2430,14914,135,8223,13.672775761270104,2194.0742323064483,5,5.196004024629365,48,12.22984764703156,19.48947323600443,95.32577730052842,26.25573591423222,30.526706758574846,Stormy,508.6246032221928
1616,132,485,42,1423,11777,361,3564,8.90969625813833,1414.8647111258251,4,2.632860418738112,7,19.662484595153384,5.206294700727985,67.84669550962087,9.423833102224402,15.675624646212516,Stormy,954.3814544417698
1533,125,307,32,1072,9930,316,7349,11.658304466806502,1818.638779820276,6,4.915586498924903,1,32.80056895297381,2.220713355060462,62.13063165863839,6.6247191258894365,23.61666430420082,Pleasant,868.0871232770692
1481,275,324,21,3413,13776,430,9862,14.499956132224316,2566.3725858070866,0,5.771163813191512,27,13.852680317616691,16.30772856417093,60.44313273357315,18.547131804827945,30.08894193303901,Stormy,894.7015356061756
406,11,291,46,1924,11821,358,7872,10.822099515829912,1750.1244495449855,4,5.8588579905713125,21,20.351047985891352,18.91238256668648,50.728905444688806,18.353631424446124,21.683957240329143,Clear skies,264.5352995269544
1437,214,336,34,3143,13176,229,3964,10.998785127052631,1525.7288076307632,2,4.570971116705961,43,23.864392339078982,17.086746851711787,48.56677241539103,24.80975060105744,29.75873312081042,Pleasant,858.6074162137018
762,281,115,46,4686,13274,105,2430,23.92063209827736,1908.3489578998535,0,5.594068821258366,45,30.04235261142824,19.55000504640073,51.962145885505386,28.961912519354847,28.762732872394423,Stormy,490.53814886487584
419,223,286,5,2608,6554,327,4532,6.019971740034011,1056.594086209113,1,5.267686819609926,8,32.17304791955784,15.158141167038355,85.4346644358979,29.67734194358674,29.20776438216848,Pleasant,335.91073247846015
803,164,311,48,4517,5598,431,7899,8.6365101977579,2038.795541490018,3,3.516899522019749,22,28.13915475753416,12.313579547844329,73.33104910637931,15.89278198872702,26.258622725887054,Pleasant,515.8656388974915
1522,178,92,28,1385,11861,187,7344,19.752391094579902,1084.736114080454,0,4.942112811733654,41,24.607339560462577,4.282891460861555,95.75759470093416,20.3448180741488,19.757234355788768,Stormy,841.2851407166012
1447,150,295,33,1134,9895,238,7097,22.450748830026026,1174.766661938833,6,3.3305221276953727,7,22.78819502547688,3.77465076462409,43.945073352969125,7.5890252998351135,25.029852798938855,Pleasant,837.3182543990179
187,235,125,11,4559,9451,447,3584,17.386002232470418,1281.741254197082,5,3.383919738693401,48,12.73689842847805,11.87028556371894,61.25081626352968,19.22308507673744,26.933523207494996,Clear skies,195.18513398572077
1941,233,424,46,1126,10990,467,2559,8.504614341890145,2678.7929246692274,4,3.872501526508324,15,31.801145222743425,16.68846460717432,89.1871961221427,24.219242452110088,33.62142343217786,Pleasant,1128.128749962274
1069,24,67,24,3886,13517,269,6606,12.11976073004308,2154.8004572242507,7,2.9675006152212435,8,22.290370708740078,7.435473546643399,52.76552432870013,29.19872614170055,25.66537009386495,Stormy,555.9896762439907
988,168,111,28,4995,7630,315,9848,24.77524780629544,2804.7906191260126,1,5.334303944228045,41,34.72812155200547,13.007382761670122,73.38251136989095,20.06064596661501,31.27518285510911,Rainy,572.6210965056177
976,119,127,10,2918,12373,420,8219,14.739540151538408,1765.855646285305,7,4.632923351262606,38,24.916908321812663,5.779015592880585,96.13963732680745,6.043552359652068,20.98541819778402,Stormy,558.792687033117
448,283,318,15,3806,13408,320,2643,17.9023567675696,2093.5256002346323,6,4.1074646381784135,17,28.77279998345677,9.7907815446751,96.5649387364916,0.2859087090595047,30.334599113255678,Clear skies,380.5185005743632
228,65,186,20,4557,10785,392,6312,20.498844815410887,2862.760440201623,8,5.114975212088496,49,39.29081003382474,16.46310184458137,60.46278308947262,28.847116636885623,17.90627634782206,Stormy,174.701565647442
272,44,127,34,1980,5222,176,6943,15.867485859655794,2784.8052071701413,7,4.95022502212861,27,26.53983616012025,19.82498146332017,42.7731833046745,8.701116742143833,26.65869807326575,Pleasant,176.4374091176612
813,30,354,25,3361,6173,217,7922,5.093822039240092,2930.135726634052,7,3.684303278951115,48,18.605275884165188,4.523770412328139,52.60749893161497,2.9134335154297,27.62985176311133,Clear skies,486.7643564458881
589,184,90,15,1791,11582,341,6319,24.11744778384884,1237.0327938330088,4,5.017715175250812,7,18.739032570307177,2.594685215045247,66.35530354579025,17.37827986073172,24.72622992113184,Rainy,377.289131297067
1136,30,200,20,4331,9896,310,2282,8.30892504399622,2211.677638479852,1,5.121016076355699,22,29.477308135729395,15.35484544988126,86.5282057867507,28.51442260629232,23.771915327945944,Rainy,621.9156557132603
321,44,463,23,3980,13347,390,7493,14.187420394963846,1402.038258477536,1,3.665693040984667,3,15.838233565618918,13.277436043665226,85.38621948644635,21.77134667071722,23.1281178326802,Clear skies,275.9664109703321
1179,20,221,23,4171,10178,118,4251,16.706486542438046,2285.849771729238,8,2.539421052650745,36,19.2886147035676,0.057738501256177,87.74538736072302,25.695843419773745,25.72604642193174,Stormy,643.2939384465042
728,174,276,44,2734,12326,402,6063,21.206342205678983,2527.708415806614,8,3.2338010356765112,45,10.025317241189857,11.079342915378676,62.27263881091908,9.34382210694897,33.90148372689912,Stormy,477.9307932358466
1291,135,145,47,3347,9152,462,7682,9.9677639248278,2366.378171462677,0,3.1836610059695825,6,23.480379431908325,19.17787623485488,87.52166585175365,27.119502224053985,34.215780566264634,Clear skies,718.1466894685096
260,164,287,29,3143,11991,159,5443,18.191648950371885,2926.7321505024847,3,2.980326831460204,26,13.713374975161242,5.412384287936609,50.616389345126,22.573474194180008,24.287691325877567,Rainy,243.83133298681716
1970,23,63,18,4595,7135,446,6044,12.97134942077173,2386.6780441206297,3,4.220119221191284,11,30.920133498418203,12.358114235332458,82.96956552589795,8.511875331547904,30.089914305779864,Rainy,1009.5467577576576
1741,208,190,39,2511,14713,265,8626,7.553728864056676,1375.2305818213722,7,5.622006081906207,40,10.346641963410908,4.242291962731977,55.19785143593151,20.34568908282952,32.18571922953179,Stormy,975.4306222273513
524,255,458,14,4519,9954,340,8150,21.333456932292663,1021.261882889106,8,5.097499280363311,48,12.712154865063177,3.33610749557935,69.13441056758154,24.250033371407053,20.36491656057702,Stormy,432.5923624793386
1514,66,375,46,2466,7329,243,2628,7.715523962395081,2230.2931761494715,2,4.174345491893586,21,23.806773681865764,19.392887592259516,93.7123401230112,12.331197082444614,18.516222710083365,Pleasant,855.749732433896
1321,201,155,24,4594,7612,300,9405,22.61714075886236,2557.605427763008,5,5.423826963555067,49,32.2889530569461,15.216860922830682,69.2818748301165,12.898217706531677,20.86386418587722,Rainy,757.2554070155921
248,256,137,45,1575,8090,316,2652,21.05973339178524,2342.8484987157835,7,3.9597554044797194,5,26.84462021008904,13.537203205697764,75.00321821549508,1.8848349424223327,24.58263397891116,Clear skies,233.9312278519111
1767,49,351,29,4720,7782,332,5902,18.24699122256799,1767.7042248554226,8,3.75209527143081,46,18.786807068564173,6.646837231877054,74.00861069071745,21.890573675741773,15.49770897209658,Pleasant,973.9793371003968
